epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,4486.85,1.37078,0.61032,0.86137,0.86955,0.74111,0.86879,0.53842,1.3084,0.64627,0.8386,0.000317,0.000317,0.000317
87,4539.72,1.37593,0.6163,0.86163,0.86029,0.74506,0.86699,0.53557,1.28913,0.62386,0.83756,0.0002972,0.0002972,0.0002972
88,4592.67,1.37279,0.60414,0.85864,0.85444,0.75,0.87614,0.54491,1.27891,0.62115,0.83649,0.0002774,0.0002774,0.0002774
89,4647.11,1.37393,0.61024,0.85528,0.81833,0.76779,0.87151,0.53427,1.30746,0.64161,0.83794,0.0002576,0.0002576,0.0002576
90,4699.57,1.33684,0.60247,0.85593,0.86311,0.73518,0.87149,0.54027,1.30337,0.60398,0.83554,0.0002378,0.0002378,0.0002378
91,4753.47,1.38406,0.65503,0.87178,0.81859,0.77586,0.86822,0.53916,1.29602,0.66153,0.84176,0.000218,0.000218,0.000218
92,4804.5,1.31006,0.6093,0.85779,0.83982,0.73913,0.86764,0.54606,1.28812,0.6087,0.83644,0.0001982,0.0001982,0.0001982
93,4858.91,1.31011,0.60337,0.86349,0.8567,0.74012,0.87765,0.54721,1.29073,0.61891,0.83599,0.0001784,0.0001784,0.0001784
94,4910.88,1.27987,0.59645,0.86118,0.8055,0.76877,0.86551,0.54114,1.33363,0.60782,0.84044,0.0001586,0.0001586,0.0001586
95,4963.58,1.26584,0.6035,0.85824,0.81049,0.76482,0.86468,0.52398,1.38914,0.62186,0.84438,0.0001388,0.0001388,0.0001388
96,5016.94,1.28109,0.60005,0.85954,0.85112,0.75131,0.87852,0.55352,1.28757,0.60251,0.83818,0.000119,0.000119,0.000119
97,5069.81,1.25056,0.58336,0.85251,0.84411,0.75977,0.87927,0.55614,1.26999,0.61348,0.83428,9.92e-05,9.92e-05,9.92e-05
98,5124.31,1.27994,0.58245,0.86496,0.87407,0.74071,0.87842,0.55199,1.2652,0.62517,0.83443,7.94e-05,7.94e-05,7.94e-05
99,5177.79,1.26147,0.58437,0.85685,0.84418,0.76976,0.88182,0.55592,1.25521,0.62113,0.8343,5.96e-05,5.96e-05,5.96e-05
100,5234.99,1.25712,0.58579,0.85991,0.85245,0.75357,0.87754,0.55267,1.26174,0.61697,0.83481,3.98e-05,3.98e-05,3.98e-05
